ID,ID список профессий,№ группы,Вес профессии в соответсвии,Уровень должности,Вес профессии в уровне,Наименование професии и различные написания
369,75,20,0,2,0,Ведущий специалист по закупкам
370,75,20,0,2,0,Ведущий специалист по закупкам и снабжению
371,75,20,0,2,0,Ведущий специалист отдела закупок
372,75,20,0,2,1,Ведущий специалист по закупкам
373,75,20,0,3,0,"Старший менеджер по поставкам / закупкам
"
374,75,20,0,3,0,"Заместитель руководителя отдела закупок
"
375,75,20,0,3,1,"Заместитель директора по закупкам
"
376,75,20,0,4,0,Руководитель отдела закупок
377,75,20,0,4,0,"Начальник отдела закупок
"
378,75,20,0,4,1,Директор по закупкам
379,76,20,1,0,1,Менеджер по импорту
380,76,20,0,0,0,Менеджер по работе с импортом
381,76,20,0,1,1,Менеджер по работе с импортом стажер
382,76,20,0,2,1,Младший менеджер по работе с импортом
